sku,brand,category,subcategory,product_name,color,cost_price_lkr,selling_price_lkr,stock_qty,sold_qty
MA22BOWGRN,Mango,Shirts,,Bow Print Long Sleeve Crop Shirt ,Pastel green bow,1050.0,2550.0,2,0
MA22BOWPNK,Mango,Shirts,,Bow Print Long Sleeve Crop Shirt ,Pastel pink bow,1050.0,2550.0,1,1
MA22FRGGRN,Mango,Shirts,,Frog Print Long Sleeve Crop Shirt ,Pastel green frog,1050.0,2550.0,0,2
VI31PEPFLUWHT,Vivek International,Tops,Sleeveless Tops,Flutter Sleeve Sweetheart Neck Peplum Top,White,805.0,2299.0,2,1
VI31PEPFLUYEL,Vivek International,Tops,Sleeveless Tops,Flutter Sleeve Sweetheart Neck Peplum Top,Pastel Yellow,805.0,2305.0,2,1
VI31PEPFLUPNK,Vivek International,Tops,Sleeveless Tops,Flutter Sleeve Sweetheart Neck Peplum Top,Pastel Pink ,805.0,2305.0,2,1
HC31EYELRED,No,Tops,Sleeveless Tops,Eyelet Lace V-Neck Peplum Top,Red,805.0,2305.0,1,1
HC31EYELPNK,No,Tops,Sleeveless Tops,Eyelet Lace V-Neck Peplum Top,Pink,805.0,2305.0,1,0
HC31ROUVBLU,No,Tops,Sleeveless Tops,Round W V-Neck Embroidered Blouse,Light Blue,,,0,1
HC31LACVWHT,No,Tops,Sleeveless Tops,V-Neck Lace Border Blouse (Embroidered),White,612.5,2099.0,1,11
MQ31TIEVBRN,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Brown,1400.0,2899.0,0,2
MQ31TIEVBLU,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Blue,1400.0,2899.0,0,1
MQ31TIEVRED,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Red ,1400.0,2899.0,0,1
MQ31TIEVBLK,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Black,1400.0,2899.0,1,0
MQ31TIEVPNK,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Pink,1400.0,2899.0,1,0
MQ31TIEVGBB,me Queen,Tops,Sleeveless Tops,Tie-Back V-Neck Blouse (Embroidered) ,White BG / Light Green/Brown/Black,1400.0,2899.0,1,0
ZR32TUBYEL,Zara,Tops,Crop Tops,Tube Crop Top with Strips (Embroidered),Pastel Yellow,700.0,2199.0,0,1
ZR32TUBGRN ,Zara,Tops,Crop Tops,Tube Crop Top with Strips (Embroidered),Pastel Army Green,700.0,2199.0,1,1
ZR32TUBGRY,Zara,Tops,Crop Tops,Tube Crop Top with Strips (Embroidered),Gray,700.0,2199.0,1,1
ZR32TUBWHT,Zara,Tops,Crop Tops,Tube Crop Top with Strips (Embroidered),White,700.0,2199.0,2,0
HC32STVWHT,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,White,875.0,2099.0,1,0
HC32STVBLK,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Black,875.0,2099.0,1,0
HC32STVDENBLU,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Denim Blue,875.0,2099.0,0,1
HC32STVMNTGRN,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Mint Green,875.0,2099.0,1,0
HC32STVLGTGRY,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Light Gray,875.0,2099.0,0,1
HC32STVMETSLV,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Metallic Silver ,875.0,2099.0,1,0
HC32STVLGTTPE,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Light Taupe,875.0,2099.0,0,1
HC32STVSEWYEL,No brand,Tops,Crop Tops,Striped V-Neck Embroidered Crop Top,Seaweed Yellow,875.0,2099.0,0,1
HC33THSRGRY,No brand,Other,,Thick Strapped Round Neck Embroidered Tank Top,Gray,875.0,2399.0,1,0
HC33THSRBEA,No brand,Other,,Thick Strapped Round Neck Embroidered Tank Top,Beaver,875.0,2399.0,0,1
HC31PEPFLOBLU,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Floral design with shiny dots (strips),Dark Blue full,875.0,2375.0,2,0
,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Floral design with shiny dots (strips),Dark Pink full,875.0,2375.0,1,0
,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Leaf design with shiny dots (strips),Orange,875.0,2375.0,2,0
,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Floral design with shiny dots (strips),Green,875.0,2375.0,2,0
,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Floral design with shiny dots (strips),Dark Blue with white,875.0,2375.0,1,0
HC31PEPMANORG,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Mandela design with shiny dots (strips),Orange,875.0,2375.0,0,2
HC31PEPMANPNK,Multi brand,Indian Ethnic Wear,Short Kurtis,Printed Tie Up Shoulder Peplum Top - Mandela design with shiny dots (strips),Pink,875.0,2375.0,0,1
